,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
151,12,-0.41,106.04,80.0,-0.14,-5.48,Southern,VMI,-0.78,5.06,75.9,106.18,13,4.16
152,12,-0.65,102.02,69.7,0.64,3.35,Summit,North Dakota State,-2.72,-4.00,67.7,101.37,15,2.07
153,22,-0.72,100.48,65.6,0.23,-0.37,Big 12,Iowa State,10.40,-0.35,76.7,100.25,2,-11.13
154,8,-0.95,97.56,68.8,-0.68,4.98,OVC,Morehead State,-4.33,-5.93,64.1,98.24,23,4.71
155,8,-0.97,105.01,70.4,-0.34,2.40,CAA,Drexel,-3.92,-3.38,67.4,105.35,12,2.95
156,6,-1.05,99.68,69.6,-0.46,2.02,AEC,Maryland-Baltimore County,-5.70,-3.07,64.9,100.13,14,4.65
157,9,-1.09,97.49,67.2,-0.69,3.64,CAA,Northeastern,0.02,-4.73,68.3,98.17,10,-1.11
158,8,-1.10,100.62,68.3,-0.43,1.35,CUSA (East),Old Dominion,-0.87,-2.45,67.7,101.05,15,0.65
159,6,-1.20,99.00,71.3,-1.00,1.61,MAAC,Iona,-6.42,-2.81,66.1,100.01,12,5.22
160,8,-1.21,104.31,71.1,-0.53,2.84,WAC,New Mexico State,-5.09,-4.04,64.2,104.84,12,6.95
161,11,-1.22,104.97,78.8,-0.50,-6.26,CUSA (West),UTSA,-0.17,5.04,73.3,105.48,15,5.54
162,11,-1.23,107.34,76.6,-1.56,-6.74,MWC,Wyoming,-2.31,5.51,75.5,108.91,14,1.08
163,11,-1.25,105.19,76.0,-0.67,-3.76,Summit,South Dakota,-3.50,2.51,72.2,105.86,14,3.76
164,7,-1.37,101.94,83.8,-1.14,-7.41,NEC,Bryant,-7.27,6.05,75.6,103.08,15,8.14
165,15,-1.48,102.84,69.4,-1.20,0.68,MWC,Nevada-Las Vegas,1.01,-2.15,67.5,104.04,12,1.96
166,8,-1.54,101.22,72.6,-1.38,0.49,Southern,Chattanooga,-2.92,-2.03,69.3,102.60,18,3.35
167,5,-1.63,101.85,80.3,-0.93,-3.51,Southland,Stephen F. Austin,-8.46,1.88,70.7,102.78,16,9.62
168,6,-1.70,103.57,80.3,-1.48,-6.29,Sun Belt (East),Georgia State,-4.60,4.58,72.7,105.05,16,7.64
169,15,-1.75,102.07,69.5,-1.65,-2.56,MVC,Northern Iowa,2.43,0.82,71.2,103.72,10,-1.64
170,8,-1.76,107.81,74.3,-1.01,-0.89,A-Sun,Bellarmine,-5.56,-0.87,66.2,108.82,14,8.09
171,13,-1.96,100.65,74.7,-2.18,-3.85,MAC,Ball State,-1.22,1.90,75.5,102.83,10,-0.74
172,10,-2.05,100.26,78.1,-2.87,-1.17,CUSA (East),Florida Atlantic,-4.94,-0.87,66.8,103.13,13,11.26
173,11,-2.29,97.57,72.1,-3.11,0.85,Patriot (South),Loyola (MD),-3.47,-3.14,70.9,100.69,6,1.18
174,11,-2.67,103.65,72.3,-3.44,-0.70,MAC,Miami (OH),-2.72,-1.97,71.6,107.08,12,0.70
175,7,-2.68,99.21,81.8,-3.84,-8.49,OVC,Eastern Kentucky,-8.24,5.80,73.7,103.05,22,8.10
176,8,-2.74,98.35,79.5,-3.69,-2.65,Sun Belt (East),Coastal Carolina,-7.60,-0.09,68.2,102.04,18,11.31
177,10,-2.77,104.76,73.2,-2.92,-4.50,CAA,Hofstra,-2.94,1.73,73.0,107.69,13,0.17
178,13,-2.86,101.48,76.4,-2.82,0.29,OVC,Murray State,-8.20,-3.15,66.9,104.29,13,9.50
179,10,-2.98,101.05,71.6,-2.40,-1.19,Big West,Hawaii,-2.72,-1.79,69.1,103.45,11,2.43
180,9,-3.02,101.74,74.3,-3.17,-0.92,OVC,Jacksonville State,-6.06,-2.10,68.6,104.92,18,5.70
181,9,-3.29,99.83,79.6,-3.22,-3.52,Southland,Sam Houston State,-4.87,0.23,70.3,103.05,19,9.29
182,11,-3.41,100.39,74.2,-3.41,-4.07,WAC,Utah Valley,-1.61,0.66,74.3,103.80,11,-0.14
183,9,-3.45,95.41,65.4,-4.11,2.47,AEC,Hartford,-4.95,-5.92,63.9,99.52,15,1.50
184,14,-3.56,99.11,65.5,-4.40,1.04,MVC,Southern Illinois,0.72,-4.60,68.1,103.51,12,-2.54
185,12,-3.57,98.79,66.3,-4.69,1.99,MWC,Fresno State,0.07,-5.56,67.4,103.48,12,-1.13
186,16,-3.57,100.21,68.1,-4.46,-2.46,A-10,La Salle,2.85,-1.11,73.5,104.67,9,-5.44
187,13,-3.65,97.16,70.8,-4.68,1.70,Big Sky,Montana,-1.57,-5.35,67.0,101.84,15,3.75
188,10,-3.66,107.18,76.5,-3.30,-4.13,Horizon,Detroit Mercy,-6.21,0.47,74.0,110.48,12,2.55
189,11,-3.71,101.64,69.4,-5.90,0.38,Patriot (North),Boston University,0.84,-4.09,73.9,107.54,7,-4.56
190,13,-3.73,103.35,73.9,-4.42,-4.62,CUSA (West),Rice,-1.49,0.89,73.6,107.76,15,0.21
191,7,-3.85,98.26,66.4,-3.64,4.68,Sun Belt (West),Texas State,-7.37,-8.53,61.7,101.90,18,4.68
192,15,-3.87,102.68,70.7,-3.45,-1.36,Big South,Gardner-Webb,-6.14,-2.51,68.4,106.13,11,2.27
193,5,-3.99,98.37,67.6,-4.58,1.65,MAAC,Siena,-8.58,-5.63,63.0,102.95,12,4.59
194,18,-4.21,94.43,65.0,-5.50,1.85,MVC,Valparaiso,1.14,-6.06,67.9,99.93,10,-2.89
195,9,-4.53,98.02,69.4,-5.97,-1.71,AEC,Albany (NY),-5.22,-2.82,68.7,103.99,7,0.69
196,15,-4.56,100.21,72.2,-4.83,-9.30,A-10,Saint Joseph's,5.89,4.74,82.6,105.04,5,-10.45
197,9,-4.84,98.15,74.4,-5.72,-5.29,Sun Belt (West),Louisiana,-5.50,0.46,72.8,103.87,17,1.62
198,16,-4.85,104.89,64.8,-6.46,-0.15,MVC,Evansville,-0.01,-4.71,69.6,111.35,9,-4.84
199,13,-4.92,96.04,70.1,-6.24,6.57,Summit,Kansas City,-2.67,-11.49,62.6,102.28,11,7.54
200,10,-4.96,102.20,70.6,-6.56,-1.49,CAA,College of Charleston,-3.13,-3.46,69.9,108.76,9,0.63
201,11,-4.99,99.54,70.6,-7.34,-4.50,Patriot (North),Holy Cross,0.45,-0.49,76.1,106.88,5,-5.44
202,8,-5.12,97.23,70.9,-5.55,0.25,Horizon,Cleveland State,-4.82,-5.36,71.2,102.78,19,-0.30
203,8,-5.19,95.19,67.5,-6.54,2.02,CAA,Delaware,-5.04,-7.21,67.5,101.72,7,0.07
204,7,-5.21,97.18,78.4,-6.59,-6.23,Southland,Nicholls State,-8.71,1.02,73.2,103.77,18,5.16
205,11,-5.22,96.05,66.2,-5.72,-2.34,WCC,San Diego,5.64,-2.88,77.1,101.77,3,-10.86
206,11,-5.24,95.88,72.9,-6.12,-2.00,WAC,Seattle,-3.51,-3.25,68.6,102.00,12,4.30
207,10,-5.25,104.84,79.1,-6.19,-8.84,WAC,California Baptist,-5.04,3.59,72.8,111.03,13,6.35
208,9,-5.32,94.89,65.7,-6.31,2.24,CAA,Elon,-4.43,-7.56,65.0,101.20,10,0.74
209,7,-5.35,99.16,71.3,-6.17,-1.29,NEC,Wagner,-7.90,-4.07,68.7,105.32,13,2.55
210,6,-5.38,104.62,77.7,-7.82,-9.58,Patriot (Central),Lafayette,-6.38,4.20,76.7,112.44,9,1.00
211,18,-5.45,97.73,72.0,-6.61,-3.65,MVC,Illinois State,0.38,-1.80,74.8,104.33,7,-2.84
212,11,-5.48,89.33,63.2,-6.75,5.07,MAAC,Saint Peter's,-7.20,-10.55,61.5,96.08,14,1.72
213,10,-5.62,98.15,74.0,-7.47,-3.33,Big Sky,Montana State,-4.62,-2.30,72.0,105.62,13,2.09
214,11,-5.67,93.15,63.2,-7.39,6.51,NEC,Mount St. Mary's,-6.67,-12.18,62.2,100.53,12,1.00
215,16,-5.68,96.88,63.5,-7.30,3.56,CUSA (East),Charlotte,-2.43,-9.24,66.7,104.18,9,-3.24
216,12,-5.75,100.77,68.1,-8.17,-5.06,A-10,George Washington,-1.57,-0.69,72.3,108.94,5,-4.18
217,8,-5.83,96.55,71.9,-6.54,-3.40,Big West,UC Davis,-4.24,-2.43,71.6,103.08,10,0.33
218,12,-5.84,96.75,70.3,-8.38,0.04,Sun Belt (East),Appalachian State,-5.72,-5.88,64.1,105.13,17,6.17
219,8,-5.88,97.86,76.1,-7.90,-9.80,MAAC,Monmouth,-7.63,3.92,74.3,105.76,12,1.75
220,11,-6.03,101.38,74.1,-7.68,-4.07,Sun Belt (East),South Alabama,-5.86,-1.95,70.9,109.06,17,3.21
221,12,-6.05,98.09,68.5,-7.70,-3.41,AEC,Massachusetts-Lowell,-3.61,-2.64,70.9,105.79,11,-2.43
222,12,-6.07,102.73,80.8,-7.55,-12.03,Southern,The Citadel,-1.45,5.95,78.4,110.28,13,2.40
223,14,-6.14,92.89,66.2,-8.01,1.01,AEC,Stony Brook,-4.73,-7.15,65.6,100.90,9,0.57
224,9,-6.15,96.83,73.9,-7.45,-5.02,SWAC,Texas Southern,-9.03,-1.13,69.5,104.28,17,4.42
225,8,-6.16,96.59,73.6,-6.87,-1.61,MEAC (Northern),Norfolk State,-8.51,-4.55,69.7,103.45,17,3.88
226,12,-6.20,96.20,67.6,-8.69,1.38,Big South,Radford,-6.60,-7.58,64.6,104.89,15,3.00
227,6,-6.32,96.91,69.1,-9.27,-4.05,Patriot (South),American,-1.82,-2.27,73.6,106.19,4,-4.50
228,10,-6.32,102.45,77.0,-7.16,-9.87,Big West,Cal State Fullerton,-3.05,3.55,78.6,109.60,6,-1.56
229,13,-6.33,91.26,68.7,-8.02,0.64,Big Sky,Portland State,-4.66,-6.97,66.5,99.27,9,2.23
230,15,-6.36,97.62,68.7,-8.51,-2.21,Sun Belt (West),Little Rock,-5.40,-4.16,68.5,106.14,11,0.15
231,8,-6.55,98.31,79.8,-7.77,-7.39,MEAC (Northern),Morgan State,-11.24,0.84,73.0,106.08,14,6.77
